-1838567.49457651	306039.050114144
-1838461.49331167	306041.534399251
-1838357.2980417	306079.534096607
-1838235.08465122	306117.547892322
-1838094.93344474	306139.487309904
-1837988.51854789	306123.778027212
-1837865.02068753	306092.142122006
-1837740.69081785	306060.369161498
-1837600.30140816	306063.140376953
-1837459.74923834	306066.889167428
-1837353.75213031	306069.350526289
-1837213.60587127	306091.262326192
-1837090.41434318	306093.867800688
-1836985.25115701	306096.455984606
-1836826.51133429	306101.178142872
-1836704.16447133	306103.914828365
-1836580.396825	306089.319970421
-1836404.46444733	306094.178899159
-1836262.94664018	306062.54677956
-1836157.78610565	306065.123916616
-1835963.82986999	306069.979609909
-1835771.68912901	306110.307309678
-1835631.30899433	306113.028190113
-1835525.15633232	306116.425561523
-1835419.99847295	306118.985562439
-1835244.23626607	306122.827114918
-1835137.94574484	306091.030772301
-1835031.54261478	306075.291328884
-1834908.46183202	306061.796176735
-1834802.07031915	306046.057898834
-1834696.7524138	306049.584416903
-1834557.36120758	306087.594646426
-1834470.93867401	306142.475306179
-1834365.92338423	306180.182002273
-1834192.51896039	306272.743226427
-1834088.47913006	306345.743943016
-1834002.05059668	306400.590875113
-1833897.44260237	306456.411512491
-1833811.01124097	306511.2457867
-1833707.23237426	306567.191125797
-1833620.79817969	306622.012772356
-1833482.48662838	306730.39373729
-1833344.00531929	306839.736081641
-1833188.20236814	306914.035522297
-1833047.23403568	306935.60174926
-1832943.03837297	306973.357179645
-1832856.60492737	307028.1314708
-1832751.57614158	307065.735722044
-1832665.53421184	307138.627443985
-1832579.08558079	307193.381326006
-1832458.21364235	307284.502290874
-1832336.39044774	307340.33521339
-1832249.93661667	307395.066833504
-1832144.913197	307432.631457329
-1832040.54706384	307471.300032683
-1831918.71975117	307527.101290782
-1831796.88078936	307582.888200532
-1831640.22282061	307656.895264596
-1831536.40484479	307712.68145656
-1831433.14805158	307785.602862711
-1831293.67616755	307859.45088014
-1831188.91715252	307879.951743922
-1831083.87635618	307917.449992468
-1830909.85254797	307992.474938164
-1830805.64208713	308030.096906648
-1830700.05168352	308050.431691806
-1830579.04350276	308106.272455354
-1830423.30028714	308215.40745987
-1830336.67212056	308270.997691092
-1830232.55360558	308343.687460184
-1830095.7569293	308488.048940164
-1829991.63047685	308560.714999553
-1829905.15715677	308615.298448716
-1829784.22388892	308706.160192389
-1829680.37973361	308761.808361447
-1829559.43942028	308852.650022654
-1829437.41535541	308909.217920248
-1829332.65078894	308929.610518922
-1829193.04772644	308968.164164985
-1829106.56430581	309022.696821706
-1829000.42901356	309025.808407909
-1828860.82545313	309064.340760157
-1828722.14449454	309138.085137915
-1828616.92147306	309176.39995044
-1828530.43336587	309230.899381792
-1828391.19963016	309287.490291741
-1828286.44595213	309307.831670138
-1828146.83967944	309346.313062545
-1828024.05243349	309366.601895052
-1827918.75255846	309369.8105441
-1827812.7857048	309371.906373821
-1827708.03316837	309392.226706889
-1827621.36487643	309447.652443695
-1827517.14687023	309485.076132971
-1827377.4470407	309559.542630299
-1827327.22897294	309648.155018271
-1827241.0978299	309720.663340102
-1827191.23864443	309827.348584658
-1827086.90304082	309900.761986655
-1826984.47779792	310008.528959246
-1826882.76230756	310152.443701401
-1826815.75673797	310294.233582949
-1826730.48754612	310401.881021037
-1826681.30804056	310544.681931243
-1826631.4006931	310651.321022257
-1826599.20032746	310774.978873426
-1826549.64640903	310899.689969495
-1826498.88760223	311006.1700549
-1826448.95397867	311112.786702852
-1826417.03500452	311219.467729181
-1826367.99399888	311396.302770161
-1826318.74733159	311539.065991144
-1826304.67363562	311661.798557901
-1826255.05986626	311786.471888494
-1826205.0808269	311893.060109754
-1826136.90825421	312000.541242866
-1826086.91681626	312107.118387761
-1826037.26131285	312231.77055523
-1825950.52185478	312287.008180547
-1825882.81664652	312376.528523799
-1825814.26497923	312465.898369076
-1825763.74102342	312555.344274682
-1825712.36905956	312609.608656049
-1825626.96577517	312717.094664656
-1825560.0907471	312841.761415012
-1825457.31778934	312950.257614247
-1825352.85578569	312988.395519097
-1825301.47499662	313077.66705883
-1825199.18837169	313203.232895779
-1825115.92145569	313363.074088404
-1825030.30755484	313471.466510267
-1824926.83989722	313543.75822996
-1824840.0632913	313598.894672636
-1824765.12486964	313650.056511219
-1824649.29867586	313729.208017594
-1824545.98953092	313800.491934642
-1824528.89682216	313791.598258312
-1824099.8015363	314022.652965845
-1823637.68398783	314352.731370703
-1823241.5940981	314583.787156893
-1822977.52306734	315012.88941002
-1822944.52071808	315475.003211109
-1822746.47223151	315904.105216775
-1822515.41880984	316267.191939422
-1822218.34098906	316630.280453383
-1822201.93556627	316588.650904558
-1822065.86166555	316642.299729365
-1821925.67078465	316662.925093756
-1821820.37723363	316665.618564778
-1821680.30571098	316705.245580479
-1821558.13449643	316725.985522738
-1821435.12130131	316746.577015583
-1821259.8445812	316786.053757896
-1821120.78345967	316824.823927973
-1820910.13286966	316865.119315949
-1820717.97611855	316922.603633919
-1820491.57134218	316999.082188721
-1820195.34418801	317111.321742132
-1819915.83824324	317206.450099986
-1819637.92285952	317336.771759173
-1819394.07232787	317449.020579991
-1819185.47924328	317541.428456458
-1819012.07487903	317633.961080277
-1818872.75033045	317708.469946213
-1818699.05243303	317782.945701616
-1818595.25305845	317855.64717489
-1818491.00737093	317911.292503674
-1818386.76031388	317966.930142141
-1818318.62044165	318056.823326785
-1818250.64558541	318145.74215539
-1818200.13436538	318252.68142556
-1818114.06334877	318307.479143872
-1818063.09214532	318397.364215375
-1818048.767651	318503.643727866
-1818017.60573644	318661.868461781
